565,MIDHANI,INE099Z01011,314.15,20
566,DREAMFOLKS,INE0JS101016,415.45,20
567,ANUP,INE294Z01018,3679.45,21.99
568,STYLEBAAZA,INE01FR01028,317.75,20
569,INDHOTEL,INE053A01029,798.05,20
570,AUTOBEES,INF204KC1337,242.46,20
571,GENESYS,INE727B01026,822,24
572,PNB,INE160A01022,104.11,20
573,ISGEC,INE858B01029,1294.35,20
574,FSL,INE684F01012,356.4,20
575,ULTRACEMCO,INE481G01011,11457.45,9
576,ASTRAZEN,INE203A01020,6457.15,20
577,PRINCEPIPE,INE689W01016,426.4,20
578,BANKBARODA,INE028A01039,247.1,20
579,ICICIGI,INE765G01017,1836.9,20
580,GHCL,INE539A01019,565.85,20
581,SUNPHARMA,INE044A01036,1798.9,9
582,LIQUIDCASE,INF0R8F01034,105.55,5
583,RAMCOCEM,INE331A01037,969.65,20
584,GLAND,INE068V01023,1773.95,20
585,BEL,INE263A01024,292.35,14.97
586,SKIPPER,INE439E01022,542.95,25.78
587,BCLIND,INE412G01024,53.5,20
588,CONCOR,INE111A01025,807.15,20
589,SWARAJENG,INE277A01016,2933.85,20
590,SGBDEC25XI,IN0020170133,7800,10
591,INDGN,INE065X01017,667.1,20
592,SAMMAANCAP,INE148I01020,161.83,20
593,FMCGIETF,INF109KC19V3,60.45,20
594,GAIL,INE129A01019,199.19,20
595,REDTAPE,INE0LXT01019,838.45,20
596,PATANJALI,INE619A01035,1761.85,20
597,CREDITACC,INE741K01010,929.45,20
598,DELHIVERY,INE148O01028,343.85,20
599,ABFRL,INE647O01011,298.65,20
600,FINPIPE,INE183A01024,267,20
601,SGBJU29III,IN0020210087,8100.15,10
602,IOB,INE565A01014,52.46,20.42
603,TMB,INE668A01016,443.45,20
604,SCHAEFFLER,INE513A01022,3399.15,20
605,ICICIPRULI,INE726G01019,687.65,20
